,분류,강사,강의명,찜하기,링크
0,탈잉이벤트 · 탈잉,인플루언서가 몰래 듣는 인스타 패키지,197명이 찜했습니다!0(0),197명이 찜했습니다!0(0),https://taling.me/vod/view/32544
1,탈잉이벤트 · 탈잉,직장생활 업그레이드 실무 스킬업 일잘러 패키지,431명이 찜했습니다!0(0),431명이 찜했습니다!0(0),https://taling.me/vod/view/31069
2,탈잉이벤트 · 탈잉,직장인 완성 실무 기초 신입사원 패키지,512명이 찜했습니다!0(0),512명이 찜했습니다!0(0),https://taling.me/vod/view/31068
3,탈잉이벤트 · 탈잉,통장을 설레게 하는 투잡 패키지,330명이 찜했습니다!0(0),330명이 찜했습니다!0(0),https://taling.me/vod/view/30355
4,영어회화 · 방인영,하루 한 문장씩 익히는 비즈니스 영어 회화,40명이 찜했습니다!5(1),40명이 찜했습니다!5(1),https://taling.me/vod/view/33492
5,스피치 · 김용배,말하기 울렁증을 극복하는 스피치 기술,33명이 찜했습니다!5(6),33명이 찜했습니다!5(6),https://taling.me/vod/view/33353
6,마케팅 · Grace,"비전공자, 취준생을 위한 디지털마케팅 올인원",59명이 찜했습니다!5(3),59명이 찜했습니다!5(3),https://taling.me/vod/view/33433
7,투잡 · 엠마,월 500만원 버는 나만의 수업 만들기,156명이 찜했습니다!5(10),156명이 찜했습니다!5(10),https://taling.me/vod/view/32339
8,이색취미/공예 · 탈잉,"백점만점, 딸아들 되는 건 시간문제! 실패 없는 드라이플라워 카드박스",53명이 찜했습니다!4.8(8),"남은 수량 216개, 혜택을 놓치지 마세요",https://taling.me/vod/view/32414
9,브랜디드 클래스 · 탈잉이벤트,[탈잉X동서식품] 티백으로 나만의 무드등 만들기,126명이 찜했습니다!5(10),"남은 수량 43개, 혜택을 놓치지 마세요",https://taling.me/vod/view/31189
10,출판/글쓰기 · 스테르담,"하루 15분, 브런치로 베스트셀러 작가 되기",1050명이 찜했습니다!5(67),1050명이 찜했습니다!5(67),https://taling.me/vod/view/28175
11,리뷰 100건+@,사진 · 나화,매력적인 피드를 위한 인스타 촬영&보정법,2413명이 찜했습니다!4.7(199),https://taling.me/vod/view/27772
12,영상제작 · 영우,조회수/구독자 당장 올리자! 유튜브 정체기 탈출법,649명이 찜했습니다!5(61),649명이 찜했습니다!5(61),https://taling.me/vod/view/26406
13,리뷰 100건+@,마케팅 · 엠마,팔로워/좋아요를 부르는 인스타그램 운영 전략,5155명이 찜했습니다!4.9(938),https://taling.me/vod/view/20116
14,부동산 · 부자해커,10년뒤 나를 바꾸는 부동산 투자 로드맵,115명이 찜했습니다!4.2(5),115명이 찜했습니다!4.2(5),https://taling.me/vod/view/32796
15,마케팅 · 황이슬,앵콜을 부르는 크라우드 펀딩의 모든 것,118명이 찜했습니다!5(14),118명이 찜했습니다!5(14),https://taling.me/vod/view/32208
16,주식투자 · 그로스파인더,"3,000억 운용 전직 펀드매니저의 주식투자 노하우",375명이 찜했습니다!5(23),375명이 찜했습니다!5(23),https://taling.me/vod/view/32141
17,마케팅 · 서경환,매출이 폭발하는 라이브 커머스 시작하기,326명이 찜했습니다!4.7(19),326명이 찜했습니다!4.7(19),https://taling.me/vod/view/31490
18,주식투자 · 김성환,주린이 탈출! 기초부터 배우는 미국주식 배당투자,556명이 찜했습니다!4.9(12),556명이 찜했습니다!4.9(12),https://taling.me/vod/view/31338
19,투잡 · 이소영,미술품 투자 똑똑하게! 아트테크 입문,480명이 찜했습니다!5(44),480명이 찜했습니다!5(44),https://taling.me/vod/view/29383
20,창업 · 안나,절대 폐업하지 않는 개인카페 창업 & 운영,730명이 찜했습니다!4.9(45),730명이 찜했습니다!4.9(45),https://taling.me/vod/view/27566
21,리뷰 100건+@,부동산 · 제이든,부동산 경매로 월급 대신 월세 받기,도서포함,https://taling.me/vod/view/22221
22,부동산 · 이광석,내 집 마련부터 시작하는 부동산 투자,2387명이 찜했습니다!4.9(100),도서포함,https://taling.me/vod/view/21997
23,영어회화 · 방인영,하루 한 문장씩 익히는 비즈니스 영어 회화,40명이 찜했습니다!5(1),40명이 찜했습니다!5(1),https://taling.me/vod/view/33492
24,스피치 · 김용배,말하기 울렁증을 극복하는 스피치 기술,33명이 찜했습니다!5(6),33명이 찜했습니다!5(6),https://taling.me/vod/view/33353
25,취업/이직/진로 · 지우,첫걸음부터 시작하는 외국계 기업 취업&이직,35명이 찜했습니다!5(9),35명이 찜했습니다!5(9),https://taling.me/vod/view/33149
26,실무역량 · 손원준,직장인을 위한 파이썬 기초,475명이 찜했습니다!5(15),475명이 찜했습니다!5(15),https://taling.me/vod/view/31196
27,실무역량 · 유세미,스마트한 직장 생활을 위한 대면&비대면 커뮤니케이션,434명이 찜했습니다!5(33),434명이 찜했습니다!5(33),https://taling.me/vod/view/29981
28,마케팅 · 쏘이,‘팔리는 콘텐츠’를 위한 디자인&마케팅 뽀개기,1530명이 찜했습니다!4.9(91),1530명이 찜했습니다!4.9(91),https://taling.me/vod/view/27340
29,웹개발 · 김상엽,비전공자를 위한 기초 탄탄 개발 입문,721명이 찜했습니다!4.8(44),721명이 찜했습니다!4.8(44),https://taling.me/vod/view/27056
30,실무역량 · 신가영,11년차 대기업 직장인의 인정 받는 보고서 작성법,1684명이 찜했습니다!5(92),1684명이 찜했습니다!5(92),https://taling.me/vod/view/24233
31,실무역량 · 임승진,37만 회원 ‘윙잇’ 대표의 실무 노션 활용법,948명이 찜했습니다!4.9(80),948명이 찜했습니다!4.9(80),https://taling.me/vod/view/23777
32,리뷰 100건+@,실무역량 · 강경윤,베인앤컴퍼니 출신의 논리적으로 일하는 법,2101명이 찜했습니다!5(120),https://taling.me/vod/view/20527
33,리뷰 100건+@,파워포인트 · 제이,실무에 가장 많이 쓰이는 PPT 디자인,도서포함,https://taling.me/vod/view/7624
34,리뷰 100건+@,엑셀 · 쏘피,실무에 진짜 필요한 엑셀 노하우,도서포함,https://taling.me/vod/view/7621
35,마케팅 · Grace,"비전공자, 취준생을 위한 디지털마케팅 올인원",59명이 찜했습니다!5(3),59명이 찜했습니다!5(3),https://taling.me/vod/view/33433
