,중분류,소분류,도서명,판매지수,가격,출판일,링크
0,프로그래밍 언어,파이썬,Do it! 점프 투 파이썬,"131,739","16,920",2019년 06월,http://www.yes24.com//Product/Goods/74419916?OzSrank=1
1,프로그래밍 언어,파이썬,두근두근 파이썬,"48,993","24,000",2017년 01월,http://www.yes24.com//Product/Goods/35279965?OzSrank=2
2,프로그래밍 언어,파이썬,파이썬 for Beginner,"43,710","23,000",2020년 01월,http://www.yes24.com//Product/Goods/83849188?OzSrank=3
3,프로그래밍 언어,파이썬,혼자 공부하는 파이썬,"103,662","16,200",2019년 06월,http://www.yes24.com//Product/Goods/74269975?OzSrank=4
4,컴퓨터 공학,컴퓨터 교육,파이썬으로 배우는 컴퓨팅 사고,"18,936","17,000",2020년 02월,http://www.yes24.com//Product/Goods/70749127?OzSrank=5
5,OS/데이터베이스,클라우드/빅데이터,혼자 공부하는 머신러닝+딥러닝,"36,495","23,400",2020년 12월,http://www.yes24.com//Product/Goods/96024871?OzSrank=6
6,프로그래밍 언어,파이썬,어서와 파이썬은 처음이지!,"14,874","29,000",2016년 08월,http://www.yes24.com//Product/Goods/30575427?OzSrank=7
7,OS/데이터베이스,클라우드/빅데이터,밑바닥부터 시작하는 딥러닝 ,"42,975","21,600",2017년 01월,http://www.yes24.com//Product/Goods/34970929?OzSrank=8
8,프로그래밍 언어,파이썬,이것이 취업을 위한 코딩 테스트다 with 파이썬 ,"45,744","30,600",2020년 08월,http://www.yes24.com//Product/Goods/91433923?OzSrank=9
9,OS/데이터베이스,클라우드/빅데이터,파이썬 증권 데이터 분석 ,"37,950","28,800",2020년 07월,http://www.yes24.com//Product/Goods/90578506?OzSrank=10
10,프로그래밍 언어,파이썬,따라하며 배우는 파이썬과 데이터 과학,"6,819","26,000",2020년 12월,http://www.yes24.com//Product/Goods/96555988?OzSrank=11
11,프로그래밍 언어,파이썬,시간순삭 파이썬,"8,700","19,800",2020년 08월,http://www.yes24.com//Product/Goods/92087970?OzSrank=12
12,프로그래밍 언어,파이썬,파워 유저를 위한 파이썬 EXPRESS,"6,846","30,000",2020년 11월,http://www.yes24.com//Product/Goods/95784557?OzSrank=13
13,컴퓨터 입문/활용,어른을 위한 컴퓨터,난생처음 컴퓨팅 사고 with 파이썬,"6,498","23,000",2021년 01월,http://www.yes24.com//Product/Goods/96547422?OzSrank=14
14,프로그래밍 언어,파이썬,Do it! 자료구조와 함께 배우는 알고리즘 입문 : 파이썬 편,"17,577","19,800",2020년 07월,http://www.yes24.com//Product/Goods/91219874?OzSrank=15
15,OS/데이터베이스,클라우드/빅데이터,파이썬 머신러닝 완벽 가이드,"28,023","34,200",2020년 02월,http://www.yes24.com//Product/Goods/87044746?OzSrank=16
16,OS/데이터베이스,클라우드/빅데이터,핸즈온 머신러닝,"47,772","49,500",2020년 05월,http://www.yes24.com//Product/Goods/89959711?OzSrank=17
17,컴퓨터 입문/활용,어른을 위한 컴퓨터,Do it! 파이썬 생활 프로그래밍,"20,901","18,000",2020년 07월,http://www.yes24.com//Product/Goods/91437485?OzSrank=18
18,프로그래밍 언어,파이썬,Do it! 점프 투 파이썬 + Do it! 자료구조와 함께 배우는 알고리즘 입문 : 파이썬 편 + Do it! 파이썬 생활 프로그래밍,0,"54,720",0001년 01월,http://www.yes24.com//Product/Goods/91446242?OzSrank=19
19,프로그래밍 언어,파이썬,Do it! 점프 투 파이썬 + Do it! 파이썬 생활 프로그래밍,0,"34,920",0001년 01월,http://www.yes24.com//Product/Goods/91446225?OzSrank=20
20,프로그래밍 언어,파이썬,데이터 과학을 위한 파이썬 프로그래밍,"9,090","25,000",2019년 01월,http://www.yes24.com//Product/Goods/67738002?OzSrank=21
21,OS/데이터베이스,클라우드/빅데이터,데이터 과학 기반의 파이썬 빅데이터 분석,"4,602","28,000",2020년 12월,http://www.yes24.com//Product/Goods/96652194?OzSrank=22
22,프로그래밍 언어,파이썬,으뜸 파이썬,"8,427","32,000",2020년 02월,http://www.yes24.com//Product/Goods/89140722?OzSrank=23
23,프로그래밍 언어,파이썬,파이선으로 쉽게 배우는 프로그래밍 입문,"6,852","21,000",2017년 12월,http://www.yes24.com//Product/Goods/57764788?OzSrank=24
24,컴퓨터 입문/활용,어른을 위한 컴퓨터,컴퓨팅 사고를 위한 파이썬,"6,432","27,550",2019년 02월,http://www.yes24.com//Product/Goods/70140586?OzSrank=25
25,프로그래밍 언어,파이썬,파이썬 알고리즘 인터뷰,"26,235","34,200",2020년 07월,http://www.yes24.com//Product/Goods/91084402?OzSrank=26
26,컴퓨터 공학,컴퓨터 교육,혼자 공부하는 첫 프로그래밍 with 파이썬 ,"12,822","15,300",2020년 06월,http://www.yes24.com//Product/Goods/90617738?OzSrank=27
27,OS/데이터베이스,클라우드/빅데이터,모두의 데이터 분석 with 파이썬,"21,957","16,200",2019년 04월,http://www.yes24.com//Product/Goods/72227684?OzSrank=28
