,중분류,소분류,도서명,판매지수,가격,출판일,링크
0,프로그래밍 언어,C,C언어 Express,"77,430","30,000",천인국 저 | 생능출판사 | 2018년 08월,http://www.yes24.com/Product/Goods/63753244
1,프로그래밍 언어,파이썬,두근두근 파이썬,"48,993","24,000",천인국 저 | 생능출판사 | 2017년 01월,http://www.yes24.com/Product/Goods/35279965
2,컴퓨터 공학,컴퓨터 교육,컴퓨터개론,"25,080","27,000",김대수 저 | 생능출판사 | 2020년 12월,http://www.yes24.com/Product/Goods/95787142
3,프로그래밍 언어,파이썬,파이썬 for Beginner,"43,710","23,000",우재남 저 | 한빛아카데미 | 2020년 01월,http://www.yes24.com/Product/Goods/83849188
4,공학계열,컴퓨터공학,C언어로 쉽게 풀어쓴 자료구조,"47,349","29,000","천인국,공용해,하상호 저 | 생능출판사 | 2019년 02월",http://www.yes24.com/Product/Goods/69750539
5,컴퓨터 공학,인공지능,처음 만나는 인공지능,"22,602","26,000",김대수 저 | 생능출판사 | 2020년 12월,http://www.yes24.com/Product/Goods/95906545
6,컴퓨터 공학,소프트웨어 공학,스크래치 : 문제해결을 위한 컴퓨팅 사고,"20,238","14,000",목원대학교 스톡스대학 SW교양학부 저 | 인피니티북스 | 2021년 02월,http://www.yes24.com/Product/Goods/97700918
7,프로그래밍 언어,파이썬,Do it! 점프 투 파이썬,"131,739","16,920",박응용 저 | 이지스퍼블리싱 | 2019년 06월,http://www.yes24.com/Product/Goods/74419916
8,프로그래밍 언어,자바,명품 JAVA Programming,"33,930","33,000","황기태,김효수 저 | 생능출판사 | 2018년 06월",http://www.yes24.com/Product/Goods/61269276
9,프로그래밍 언어,파이썬,혼자 공부하는 파이썬,"103,662","16,200",윤인성 저 | 한빛미디어 | 2019년 06월,http://www.yes24.com/Product/Goods/74269975
10,웹사이트,HTML/JavaScript/CSS/jQuery,명품 HTML5+CSS3+Javascript 웹 프로그래밍,"27,882","28,000",황기태 저 | 생능출판사 | 2017년 01월,http://www.yes24.com/Product/Goods/35306392
11,프로그래밍 언어,C,윤성우의 열혈 C 프로그래밍,"55,218","22,500",윤성우 저 | 오렌지미디어 | 2010년 11월,http://www.yes24.com/Product/Goods/4333686
12,컴퓨터 입문/활용,어른을 위한 컴퓨터,소프트웨어 중심사회의 컴퓨터개론,"23,208","27,000","강환수,조진형,신용현,강환일 저 | 인피니티북스 | 2019년 02월",http://www.yes24.com/Product/Goods/68752552
13,오피스 활용,MS Excel(엑셀),엑셀과 파워포인트 2016,"20,190","22,000",김지연 저 | 한빛아카데미 | 2017년 12월,http://www.yes24.com/Product/Goods/57831175
14,프로그래밍 언어,C,C 언어 콘서트,"24,366","26,000",천인국 저 | 생능출판사 | 2017년 08월,http://www.yes24.com/Product/Goods/45414499
15,웹사이트,HTML/JavaScript/CSS/jQuery,HTML5 웹 프로그래밍 입문,"24,522","26,000",윤인성 저 | 한빛아카데미 | 2019년 07월,http://www.yes24.com/Product/Goods/76897377
16,모바일 프로그래밍,안드로이드폰,Android Studio를 활용한 안드로이드 프로그래밍,"14,319","32,000","우재남,박길식 저 | 한빛아카데미 | 2021년 01월",http://www.yes24.com/Product/Goods/96685628
17,오피스 활용,MS Excel(엑셀),엑셀 2016,"16,986","19,000",김지연 저 | 한빛아카데미 | 2018년 06월,http://www.yes24.com/Product/Goods/62001699
18,프로그래밍 언어,C++,명품 C++ Programming,"24,798","30,000",황기태 저 | 생능출판사 | 2018년 03월,http://www.yes24.com/Product/Goods/59401348
19,OS/데이터베이스,MySQL,데이터베이스 개론,"24,687","27,000",김연희 저 | 한빛아카데미 | 2019년 01월,http://www.yes24.com/Product/Goods/67882661
